seed,ensemble_selected,composite_distance,n_chunks,best_specialists,best_possible_combination,rmse_improvement_ratio,complexity_ratio,total_improvement,rmse
0,False,1.255,1,"[np.float64(7.240067086497066), np.float64(10.60126072409249)]",8.228636070783306,1.5238119009727062,3.515463917525773,5.356905754965905,12.858516559734046
1,True,3.21625,5,"[np.float64(5.509606061115126), np.float64(7.3619201724635905)]",6.041117627601441,0.6688055338795241,4.185840707964601,2.7995134294249104,4.251223183452512
2,True,5.34,7,"[np.float64(0.8012480223297688), np.float64(6.449319897821832)]",3.344707542776996,0.04957439444524715,8.955555555555556,0.44396624358743564,0.2395979370393895
3,True,4.28875,6,"[np.float64(3.6308794315593875), np.float64(6.391356633443175)]",4.521686733506867,0.2466425280935198,6.116279069767442,1.5085345322929236,1.1441487032816078
4,True,3.35625,5,"[np.float64(3.408136903192164), np.float64(4.470832321984121)]",3.7109877876048945,0.7741540661055101,5.651162790697675,4.374870652642766,3.661069393663703
5,True,2.1525,4,"[np.float64(5.005898368280278), np.float64(1.7493542933861437)]",4.366274322628026,0.2464509182684552,3.6530612244897958,0.9003002932663975,2.4685811206899952
6,True,3.19625,5,"[np.float64(0.9184723762417264), np.float64(5.6849056021363955)]",3.0435236748261434,0.4630902489992177,5.196078431372549,2.4062532546037785,2.1977441230130816
7,True,3.24375,5,"[np.float64(0.9132818791322243), np.float64(2.948855170357835)]",1.6790335626670736,0.20114828691992967,6.411764705882353,1.289715486721902,0.9517739764797748
8,True,3.34125,5,"[np.float64(0.6498043058865824), np.float64(0.6025204411053147)]",0.6376156570685887,0.6527188858543428,4.450381679389313,2.904848171397571,0.4365872923425333
9,True,5.3425,7,"[np.float64(1.0250675734125674), np.float64(5.949689693335837)]",3.090615537316282,0.04388385518436223,7.658823529411765,0.33609870264729197,0.2058576349033683
10,True,2.34,4,"[np.float64(1.4339045807881936), np.float64(2.2367147997356236)]",1.6843358320630069,0.6455817896478432,3.121739130434783,2.015337934639789,1.116675008307797
11,False,1.26,1,"[np.float64(3.5140074470987175), np.float64(5.7273980970842615)]",4.203154398848826,0.9629438863033137,2.9322033898305087,2.8235473276351404,4.486870914119152
12,False,1.2375,1,"[np.float64(2.8949549490623583), np.float64(7.8593530981701125)]",4.589179944303429,1.1436483707766103,2.6043956043956045,2.9785127898247983,5.397612631407682
13,True,4.28125,6,"[np.float64(1.0387825789521627), np.float64(5.503112539523659)]",2.94489653879042,0.005342189115295466,5.841121495327103,0.031204375673454826,0.0253882157402253
14,True,2.14625,4,"[np.float64(3.732227777031046), np.float64(6.195284452758714)]",4.490522310793567,0.6339808812992772,5.385964912280702,3.414598781734704,3.4388441480675365
15,True,3.21125,5,"[np.float64(0.26028853267526003), np.float64(2.6353130895661403)]",1.3748411670401366,0.029165945815355945,5.3768115942028984,0.15681979561589934,0.1207589602502765
16,False,1.26,1,"[np.float64(2.058805805649025), np.float64(6.723933846027575)]",3.8589582338596515,0.9555762071559556,2.697478991596639,2.577646743672788,4.4293823017323195
17,False,1.2675,1,"[np.float64(8.866481836568681), np.float64(11.019104007841298)]",9.490265859271945,0.9644327480921223,4.7534246575342465,4.5843584053146085,9.305154076800765
18,True,4.2775,6,"[np.float64(1.0176081170033622), np.float64(3.0769518919976933)]",1.8199437023100282,0.05803284280820824,8.183673469387756,0.4749218360426838,0.27865608573050366
19,True,3.22,5,"[np.float64(0.5992201053205805), np.float64(4.726472771915983)]",2.5087435838407144,0.12876210780446828,7.2439024390243905,0.9327401467787093,0.6483122869711114
20,True,4.26375,6,"[np.float64(2.5096603834521507), np.float64(3.0620127798623127)]",2.6657543180137715,0.36155012742185894,7.093023255813954,2.5644834619457435,1.7297806454073745
21,True,2.14875,4,"[np.float64(0.7946426342078982), np.float64(5.042190842172466)]",2.7855382771157777,0.712626294329128,4.389830508474576,3.1283086479871893,4.422534318265956
22,True,3.225,5,"[np.float64(1.968113636984769), np.float64(5.697631586531371)]",3.3519063826548345,0.5189932321178833,5.379746835443038,2.7920521981025366,2.9049265306573337
23,True,1.45,3,"[np.float64(4.982983164549495), np.float64(7.804285696481697)]",5.856643163698088,0.7326953934876295,3.0930232558139537,2.2662438914849936,4.420190180367679
24,True,4.2725,6,"[np.float64(0.8690071683215246), np.float64(3.6067259888546634)]",1.9929035149416108,0.023767265698922888,6.186440677966102,0.14703477932384498,0.11305949969777428
25,True,2.13625,4,"[np.float64(0.08529735857512509), np.float64(0.6143164557761771)]",0.3288318119260437,0.07983933858677761,3.7375886524822697,0.2984066059236298,0.1707883745323485
26,True,3.18125,5,"[np.float64(1.0472360261767732), np.float64(4.167329993902845)]",2.3080049068942765,0.3702178781207919,6.891891891891892,2.5515015924541062,2.1722296850345835
27,True,1.155,3,"[np.float64(0.41187939690127817), np.float64(2.5269923441331072)]",1.3305173420679348,0.27944922596001764,2.8666666666666667,0.8010877810853839,1.2955509586524088
28,True,2.15125,4,"[np.float64(1.868081526840266), np.float64(8.855898620378689)]",4.831986104445069,0.508557170942789,4.446153846153846,2.2611234215764004,3.066479306162041
29,True,3.23625,5,"[np.float64(0.9420901871661025), np.float64(1.6453140674711342)]",1.1684002274344587,0.13161668237920857,4.679012345679013,0.6158360817496302,0.6262499617551762
